date,bc
9/1/2017,68.96568
9/2/2017,101.27086
9/4/2017,263.69376
9/5/2017,85.02872
9/6/2017,120.82383
9/7/2017,156.03169
9/8/2017,125.98548
9/9/2017,112.55254
9/10/2017,277.5215
9/11/2017,101.72821
9/12/2017,76.50121
9/13/2017,170.21933
9/14/2017,94.2495
9/15/2017,84.88191
9/16/2017,129.14262
9/17/2017,415.68805
9/18/2017,124.02974
9/19/2017,128.62131
9/20/2017,56.45451
9/22/2017,51.80116
9/23/2017,113.00173
9/24/2017,35.91499
9/25/2017,247.00938
9/26/2017,262.5126
9/27/2017,273.82316
9/28/2017,387.01027
9/29/2017,433.42766
9/30/2017,329.27781
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
