date,bc
6/1/2017,248.21122
6/2/2017,293.82085
6/3/2017,433.39581
6/5/2017,475.47153
6/6/2017,282.90517
6/7/2017,242.14963
6/8/2017,238.20905
6/9/2017,262.55114
6/10/2017,179.96101
6/12/2017,206.81374
6/13/2017,144.68876
6/14/2017,151.89367
6/15/2017,202.376
6/16/2017,229.93423
6/17/2017,114.21649
6/19/2017,126.76775
6/20/2017,270.85239
6/21/2017,50.74571
6/22/2017,185.39919
6/23/2017,185.02089
6/24/2017,142.14844
6/26/2017,124.07931
6/27/2017,97.02237
6/28/2017,73.0167
6/29/2017,119.19639
6/30/2017,40.46186
7/1/2017,46.08102
7/3/2017,70.87668
7/4/2017,79.40084
7/5/2017,28.2723
7/6/2017,51.65828
7/7/2017,39.3342
7/8/2017,80.44524
7/10/2017,49.88952
7/11/2017,54.91641
7/12/2017,37.56751
7/13/2017,68.10788
7/14/2017,77.69742
7/15/2017,72.24759
7/17/2017,51.06944
7/18/2017,56.57199
7/19/2017,68.04326
7/20/2017,52.78183
7/21/2017,180.80465
7/22/2017,51.28205
7/24/2017,17.5739
7/25/2017,50.08538
7/26/2017,93.49103
7/27/2017,46.75155
7/28/2017,30.74925
7/29/2017,91.46786
7/31/2017,149.26145
8/1/2017,104.60872
8/2/2017,270.33641
8/3/2017,222.81335
8/4/2017,328.47054
8/5/2017,84.65471
8/7/2017,49.65838
8/8/2017,61.25008
8/9/2017,59.81403
8/10/2017,62.67001
8/11/2017,81.12184
8/12/2017,61.77272
8/14/2017,134.81706
8/15/2017,274.15571
8/16/2017,67.71359
8/17/2017,54.48964
8/18/2017,43.30593
8/19/2017,17.94643
8/21/2017,56.39788
8/22/2017,17.50579
8/23/2017,51.74305
8/24/2017,132.99221
8/25/2017,136.05724
8/26/2017,452.75261
8/28/2017,356.59886
8/29/2017,373.68742
8/30/2017,296.26481
8/31/2017,99.33801
