date,bc
3/1/2017,709.16124
3/2/2017,660.20248
3/3/2017,288.7133
3/4/2017,450.45078
3/6/2017,657.73323
3/7/2017,951.59026
3/8/2017,798.83479
3/9/2017,1243.58959
3/10/2017,442.1756
3/11/2017,236.2278
3/13/2017,243.48522
3/14/2017,196.95131
3/15/2017,234.42847
3/16/2017,235.89141
3/17/2017,387.25014
3/18/2017,358.19615
3/20/2017,235.26905
3/21/2017,121.12835
3/22/2017,136.36926
3/23/2017,133.27131
3/24/2017,371.50307
3/25/2017,149.12838
3/27/2017,235.16022
3/28/2017,298.56161
3/29/2017,326.42781
3/30/2017,362.91781
3/31/2017,459.91066
4/1/2017,337.92442
4/3/2017,346.89203
4/4/2017,314.15529
4/5/2017,391.79314
4/6/2017,309.13942
4/7/2017,279.96846
4/8/2017,291.74414
4/10/2017,705.58199
4/11/2017,1663.45901
4/12/2017,1320.19658
4/13/2017,2772.34631
4/14/2017,2315.14337
4/15/2017,856.92047
4/17/2017,425.12122
4/18/2017,455.75785
4/19/2017,1161.69729
4/20/2017,727.36258
4/21/2017,372.27997
4/22/2017,376.67336
4/24/2017,134.84621
4/25/2017,263.5207
4/26/2017,492.76166
4/27/2017,789.05556
4/28/2017,886.06393
4/29/2017,947.82873
5/1/2017,387.41664
5/2/2017,511.79079
5/3/2017,447.06249
5/4/2017,549.89787
5/5/2017,218.4402
5/6/2017,424.09797
5/8/2017,271.2127
5/9/2017,321.52796
5/10/2017,144.67102
5/11/2017,163.51694
5/12/2017,232.79517
5/13/2017,368.5168
5/15/2017,115.11774
5/16/2017,96.59578
5/17/2017,140.4696
5/18/2017,242.86242
5/19/2017,252.84909
5/20/2017,370.90145
5/22/2017,519.49555
5/23/2017,673.60756
5/24/2017,561.12901
5/25/2017,748.55382
5/26/2017,420.75872
5/27/2017,228.84398
5/29/2017,277.5669
5/30/2017,609.47198
5/31/2017,271.24908
